Player,Season_End_Year,Squad,Comp,Min,Pred,Pred_scaled,Nation,Pos,Age,overall,UrlFBref
Jaïro Riedewald,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,75,NA
Jesuran Rak Sakyi,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,61,NA
Nathan Ferguson,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,69,NA
Omotayo Adaramola,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Scott Banks,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Reece Hannam,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Martin Kelly,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Remi Matthews,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Robert Street,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Pontus Jansson,2022,Brentford,Premier League,3321,78.11297304,-0.079810344,SWE,DF,30,75,https://fbref.com/en/players/172e52d8/Pontus-Jansson
Christian Nørgaard,2022,Brentford,Premier League,3054,80.82323857,0.936933431,DEN,MF,27,73,https://fbref.com/en/players/df0a4c90/Christian-Norgaard
Bryan Mbeumo,2022,Brentford,Premier League,2905,79.1971693,0.326920948,FRA,FW,21,74,https://fbref.com/en/players/6afaebf2/Bryan-Mbeumo
