Date,Squad,Home_Away,Match_Half,Minute,Shooting_Player,Outcome,Distance,Body_Part,Shot_Notes,SCA1_Player,SCA1_Event,SCA2_Player,SCA2_Event
2021-11-20,Southampton,Away,1,21,Adam Armstrong,Blocked,22,Right Foot,,,,,
2021-11-20,Southampton,Away,1,27,Mohamed Elyounoussi,Off Target,19,Right Foot,Volley,,,,
2021-11-20,Southampton,Away,1,30,Adam Armstrong,Blocked,7,Left Foot,,Mohamed Elyounoussi,Pass (Live),Kyle Walker-Peters,Pass (Live)
2021-11-20,Southampton,Away,1,34,Mohammed Salisu,Saved,32,Left Foot,,James Ward-Prowse,Pass (Live),Ibrahima Diallo,Pass (Live)
2021-11-20,Southampton,Away,1,40,Mohamed Elyounoussi,Blocked,19,Left Foot,,Ibrahima Diallo,Pass (Live),Ibrahima Diallo,Dribble
2021-11-20,Southampton,Away,1,40,James Ward-Prowse,Off Target,35,Right Foot,,Kyle Walker-Peters,Tackle,,
2021-11-20,Southampton,Away,1,43,Che Adams,Saved,15,Right Foot,,Ibrahima Diallo,Pass (Live),,
2021-11-20,Southampton,Away,2,70,Oriol Romeu,Blocked,20,Right Foot,,James Ward-Prowse,Pass (Live),Oriol Romeu,Pass (Live)
2021-11-20,Southampton,Away,2,85,Adam Armstrong,Blocked,22,Right Foot,,Adam Armstrong,Dribble,Kyle Walker-Peters,Pass (Live)
2021-11-20,Southampton,Away,2,87,Jan Bednarek,Blocked,8,Right Foot,Half volley,James Ward-Prowse,Pass (Dead),,
2021-11-20,Southampton,Away,2,88,Adam Armstrong,Saved,23,Left Foot,,James Ward-Prowse,Pass (Live),Lyanco,Pass (Live)
2021-11-20,Southampton,Away,2,90+3,Theo Walcott,Off Target,9,Head,,James Ward-Prowse,Pass (Live),Jan Bednarek,Pass (Live)
2021-11-20,Aston Villa,Home,1,12,Matty Cash,Saved,8,Head,,Matt Targett,Pass (Live),Ollie Watkins,Pass (Live)
2021-11-20,Aston Villa,Home,1,40,Tyrone Mings,Blocked,37,Left Foot,,Ezri Konsa,Pass (Live),Matty Cash,Pass (Live)
2021-11-20,Aston Villa,Home,2,47,Tyrone Mings,Saved,9,Head,,John McGinn,Pass (Dead),Jacob Ramsey,Fouled
2021-11-20,Aston Villa,Home,2,49,Emi Buendía,Blocked,25,Right Foot,,,,,
2021-11-20,Aston Villa,Home,2,84,Ollie Watkins,Goal,16,Right Foot,,Ashley Young,Pass (Live),Ashley Young,Dribble
2021-11-20,Aston Villa,Home,2,88,Leon Bailey,Blocked,9,Left Foot,Back heel,Matt Targett,Pass (Live),Ashley Young,Pass (Live)
2021-11-20,Aston Villa,Home,2,89,Tyrone Mings,Goal,11,Right Foot,,,,,
2021-11-20,Aston Villa,Home,2,90+4,Leon Bailey,Saved,13,Right Foot,Volley,Matt Targett,Pass (Live),Ashley Young,Pass (Live)
2021-11-20,Aston Villa,Home,2,90+4,Ollie Watkins,Wayward,13,Right Foot,Volley,Leon Bailey,Shot,,
2021-11-20,Brighton,Away,1,31,Leandro Trossard,Saved,9,Left Foot,Half volley,,,,
2021-11-20,Brighton,Away,1,45+1,Tariq Lamptey,Saved,10,Right Foot,,Jakub Moder,Pass (Live),Jakub Moder,Dribble
2021-11-20,Brighton,Away,1,45+1,Pascal Groß,Blocked,18,Right Foot,Half volley,Tariq Lamptey,Shot,,
2021-11-20,Brighton,Away,2,63,Leandro Trossard,Blocked,17,Right Foot,Half volley,Adam Lallana,Pass (Live),Pascal Groß,Pass (Live)
2021-11-20,Brighton,Away,2,64,Adam Webster,Blocked,24,Left Foot,,Pascal Groß,Pass (Live),Tariq Lamptey,Pass (Live)
2021-11-20,Brighton,Away,2,90+2,Alexis Mac Allister,Blocked,19,Right Foot,,Leandro Trossard,Pass (Live),Solly March,Pass (Live)
2021-11-20,Newcastle Utd,Away,1,3,Callum Wilson,Off Target,8,Head,,Joelinton,Pass (Live),Jacob Murphy,Pass (Live)
