Date,Squad,Match_Half,Minute,Shooting_Player,Outcome,Distance,Body_Part,Shot_Notes,SCA1_Player,SCA1_Event,SCA2_Player,SCA2_Event,45+,Home_Away,order,xG
2022-01-02,Brentford,2,95,Ivan Toney,Off Target,36,Left Foot,Lob,,,,,0,Home,187,0.012329017743468285
2022-01-02,Brighton,1,3,Alexis Mac Allister,Goal,8,Right Foot,Volley,Neal Maupay,Pass (Live),Joël Veltman,Pass (Live),0,Away,188,0.4740754663944245
2022-01-02,Brighton,1,7,Alexis Mac Allister,Blocked,25,Left Foot,,,,,,0,Away,188,0.022155271843075752
2022-01-02,Brighton,1,10,Leandro Trossard,Blocked,22,Right Foot,,Neal Maupay,Pass (Live),Leandro Trossard,Pass (Live),0,Away,188,0.02465282939374447
2022-01-02,Everton,1,20,Anthony Gordon,Off Target,29,Right Foot,Half volley,,,,,0,Home,188,0.012271542102098463
2022-01-02,Brighton,1,21,Yves Bissouma,Blocked,11,Right Foot,,Yves Bissouma,Dribble,Alexis Mac Allister,Pass (Live),0,Away,188,0.1011168733239174
2022-01-02,Brighton,1,21,Dan Burn,Goal,2,Head,Open goal,Enock Mwepu,Pass (Live),Alexis Mac Allister,Pass (Dead),0,Away,188,0.620557427406311
2022-01-02,Everton,1,22,Demarai Gray,Blocked,6,Left Foot,,Demarai Gray,Dribble,,,0,Home,188,0.3318057358264923
2022-01-02,Everton,1,25,Dominic Calvert-Lewin (pen),Off Target,12,Right Foot,,Anthony Gordon,Fouled,Demarai Gray,Shot,0,Home,188,0.7611688375473022
2022-01-02,Everton,1,30,Dominic Calvert-Lewin,Saved,8,Head,,Ben Godfrey,Pass (Live),Demarai Gray,Pass (Live),0,Home,188,0.07647590339183807
2022-01-02,Brighton,1,38,Adam Lallana,Saved,24,Right Foot,,,,,,0,Away,188,0.02000704221427441
2022-01-02,Brighton,1,39,Dan Burn,Saved,10,Head,,Alexis Mac Allister,Pass (Dead),Adam Lallana,Pass (Live),0,Away,188,0.019646573811769485
2022-01-02,Everton,1,40,Anthony Gordon,Saved,15,Left Foot,Deflected,Anthony Gordon,Tackle,,,0,Home,188,0.054221518337726586
2022-01-02,Brighton,1,45,Neal Maupay,Off Target,20,Left Foot,,Neal Maupay,Dribble,Leandro Trossard,Pass (Live),1,Away,188,0.055821482092142105
2022-01-02,Everton,2,49,Dominic Calvert-Lewin,Blocked,10,Right Foot,,Demarai Gray,Pass (Live),Séamus Coleman,Pass (Live),0,Home,188,0.07430601119995117
2022-01-02,Everton,2,53,Anthony Gordon,Goal,23,Left Foot,Deflected,Allan,Pass (Live),Jonjoe Kenny,Pass (Live),0,Home,188,0.018631678074598312
2022-01-02,Everton,2,54,Dominic Calvert-Lewin,Wayward,6,Head,,Jonjoe Kenny,Pass (Live),Allan,Pass (Live),0,Home,188,0.038247689604759216
2022-01-02,Everton,2,56,Demarai Gray,Saved,21,Right Foot,,Anthony Gordon,Pass (Dead),,,0,Home,188,0.02592966891825199
2022-01-02,Everton,2,57,Abdoulaye Doucouré,Blocked,14,Right Foot,,,,,,0,Home,188,0.07986719161272049
2022-01-02,Brighton,2,59,Marc Cucurella,Wayward,21,Left Foot,,Leandro Trossard,Pass (Live),Neal Maupay,Pass (Live),0,Away,188,0.05588868260383606
2022-01-02,Brighton,2,60,Adam Lallana,Wayward,22,Left Foot,Half volley,,,,,0,Away,188,0.03773766383528709
2022-01-02,Everton,2,63,Séamus Coleman,Off Target,23,Right Foot,,Demarai Gray,Pass (Live),Anthony Gordon,Pass (Dead),0,Home,188,0.02067418955266476
2022-01-02,Everton,2,68,Allan,Saved,29,Right Foot,,Demarai Gray,Pass (Live),Séamus Coleman,Pass (Live),0,Home,188,0.014954090118408203
2022-01-02,Brighton,2,71,Alexis Mac Allister,Goal,22,Right Foot,Half volley,Enock Mwepu,Pass (Live),Leandro Trossard,Pass (Live),0,Away,188,0.035449743270874016
2022-01-02,Brighton,2,73,Yves Bissouma,Blocked,24,Right Foot,Volley,,,,,0,Away,188,0.016859356313943863
2022-01-02,Everton,2,76,Anthony Gordon,Goal,12,Right Foot,Half volley,Jonjoe Kenny,Pass (Live),Dominic Calvert-Lewin,Pass (Live),0,Home,188,0.07740464061498642
2022-01-02,Everton,2,88,Anthony Gordon,Off Target,7,Right Foot,,Salomón Rondón,Pass (Live),Salomón Rondón,Dribble,0,Home,188,0.11975839734077455
2022-01-02,Everton,2,90,Salomón Rondón,Off Target,11,Left Foot,Volley,André Gomes,Pass (Live),,,0,Home,188,0.037616100162267685
2022-01-02,Everton,2,92,Michael Keane,Off Target,31,Left Foot,Half volley,,,,,0,Home,188,0.011450648307800293
2022-01-02,Everton,2,94,Salomón Rondón,Blocked,13,Right Foot,,Ben Godfrey,Pass (Live),André Gomes,Pass (Live),0,Home,188,0.07219478487968445
2022-01-02,Liverpool,1,6,Mohamed Salah,Saved,17,Right Foot,,Sadio Mané,Pass (Live),,,0,Away,189,0.3218073546886444
2022-01-02,Liverpool,1,9,Sadio Mané,Goal,12,Left Foot,,Sadio Mané,Dribble,,,0,Away,189,0.6765506267547607
2022-01-02,Chelsea,1,16,Mason Mount,Blocked,13,Right Foot,,César Azpilicueta,Pass (Live),Mateo Kovačić,Pass (Live),0,Home,189,0.05826448649168015
2022-01-02,Chelsea,1,19,Marcos Alonso,Off Target,11,Left Foot,Volley,Mason Mount,Pass (Live),N'Golo Kanté,Pass (Live),0,Home,189,0.04027433320879936
2022-01-02,Liverpool,1,24,Trent Alexander-Arnold,Blocked,21,Right Foot,Half volley,,,,,0,Away,189,0.0497535951435566
2022-01-02,Liverpool,1,25,Trent Alexander-Arnold,Wayward,22,Right Foot,Half volley,,,,,0,Away,189,0.0139277009293437
2022-01-02,Liverpool,1,26,Mohamed Salah,Goal,9,Left Foot,,Trent Alexander-Arnold,Pass (Live),Fabinho,Pass (Live),0,Away,189,0.29771339893341064
2022-01-02,Liverpool,1,36,Mohamed Salah,Blocked,15,Left Foot,,Mohamed Salah,Dribble,,,0,Away,189,0.21381129324436188
2022-01-02,Chelsea,1,41,Marcos Alonso,Saved,21,Left Foot,Free kick,Kai Havertz,Fouled,César Azpilicueta,Pass (Live),0,Home,189,0.06182016432285309
2022-01-02,Chelsea,1,42,Mateo Kovačić,Goal,22,Right Foot,Volley,Marcos Alonso,Shot,,,0,Home,189,0.020981406792998317
2022-01-02,Chelsea,1,46,Christian Pulisic,Goal,13,Left Foot,Half volley,N'Golo Kanté,Pass (Live),Antonio Rüdiger,Pass (Live),1,Home,189,0.3118114471435547
